,mid,qid,name,mid_types,country of origin,class
0,/m/021mn,Q13266,Cookie,Food,,dessert
1,/m/01yvs,Q2813,Coca-Cola,"Beverage,Food,Ingredient",United States of America,soft drink
2,/m/09759,Q5090,Rice,"Food,Ingredient",,rice dish
3,/m/057z_,Q235169,Miso,"Food,Ingredient",Japan,soup
4,/m/06x4c,Q11002,Sugar,"Food,Ingredient",,
5,/m/05g0_z,Q11254,Table salt,"Food,Ingredient",,spice
6,/m/09cpv,Q207310,Cabernet Sauvignon,Food,France,"wine, beer and liquor"
7,/m/0f2b9,Q134862,Champagne,"Beverage,Food,Ingredient",France,"wine, beer and liquor"
8,/m/0f9n3,Q35625,Ginger,"Food,Ingredient",,spice
9,/m/0f2nzn,Q194297,Guinness,"Beverage,Food,Ingredient",,"wine, beer and liquor"
10,/m/0f8sw,Q196,Cherry,"Food,Ingredient",,fruit
11,/m/09cgp,Q213332,Chardonnay,Food,France,"wine, beer and liquor"
12,/m/01c2z6,Q223701,Pinot Noir,Food,France,
13,/m/0bdcn,Q13194939,Cod,"Food,Ingredient",,fish dish
14,/m/09k_b,Q500,Lemon,"Food,Ingredient",,fruit
15,/m/01sbt1,Q155922,Parmigiano-Reggiano,"Food,Ingredient",Italy,cheese
16,/m/0h0xm,Q11106,Bacon,"Food,Ingredient",,pork dish
17,/m/03vtj,Q23392,Ice,"Food,Ingredient",,
18,/m/04sr0,Q213338,Merlot,Food,France,
19,/m/09777,Q2796766,Salmon,"Food,Ingredient",,fish dish
20,/m/0dj75,Q23485,Onion,"Food,Ingredient",,vegetable and legume
21,/m/0dbrl,Q23400,Garlic,"Food,Ingredient",,spice
22,/m/01hcps,Q643419,Lamb and mutton,"Food,Ingredient",,lamb dish
23,/m/01yt8c,Q38859,Basil,"Food,Ingredient",,herb
24,/m/0qjf5,Q1815345,Diet Coke,"Beverage,Food",United States of America,soft drink
25,/m/01k18d,Q138585,Oreo,"Dish,Food",United States of America,dessert
26,/m/020vl,Q195,Chocolate,"Food,Ingredient",,dessert
27,/m/053wn,Q11575,Maize,"Food,Ingredient",,
28,/m/03q2b,Q170486,Ham,"Food,Ingredient",,pork dish
29,/m/06cd7,Q122679,Rosemary,"Food,Ingredient",,herb
30,/m/01l566,Q1531983,Kool-Aid,"Beverage,Food,Ingredient",,soft drink
31,/m/01jp3,Q610672,Budweiser,"Beverage,Food",United States of America,"wine, beer and liquor"
32,/m/02cc1,Q163648,DDT,Ingredient,,
33,/m/03qmh,Q10987,Honey,"Food,Ingredient",,dessert
34,/m/0dxb5,Q13184,Berry,"Food,Ingredient",,fruit
35,/m/0gv88,Q179678,Monosodium glutamate,Ingredient,,
36,/m/02vqfm,Q8486,Coffee,"Beverage,Food,Ingredient",,
37,/m/01925l,Q158289,Hypericum perforatum,Food,,
38,/m/0k64b,Q93208,Emu,Food,,
39,/m/025r2,Q750979,Chianti,Food,Italy,
40,/m/07fbm7,Q13158,Strawberry,"Food,Ingredient",,fruit
41,/m/0477n,Q1686705,Jell-O,"Food,Ingredient",United States of America,dessert
42,/m/0f0ch,Q28165,Cinnamon,"Food,Ingredient",,spice
43,/m/05ml4,Q93165,Olive oil,"Food,Ingredient",,
44,/m/09qck,Q503,Banana,"Food,Ingredient",,fruit
45,/m/07clx,Q6097,Tea (Beverage type),"Food,Ingredient",,
46,/m/0fldg,Q169,Mango,"Food,Ingredient",,fruit
47,/m/0djtd,Q13187,Coconut,"Food,Ingredient",,
48,/m/01mzvs,Q484083,Green tea,"Beverage,Food,Ingredient",,
49,/m/06_0l,Q312246,Stevia,Ingredient,,
50,/m/05mln,Q37083,Olive,"Food,Ingredient",,
51,/m/02xwb,Q1364,Fruit (Ingredient),"Food,Ingredient",,fruit
52,/m/0dj6p,Q13189,Peach,"Food,Ingredient",,fruit
53,/m/0brjx,Q212193,Nutella,"Food,Ingredient",Italy,dessert
